
#strongLevel = money,strongGoodsCount,realSuccessRate,showSuccessRate,failureRate,att,safeGoodsCount

0=500,1,1,1,0,0.1,0
1=1000,2,0.9,0.9,0,0.1,0
2=1500,3,0.8,0.8,0,0.1,0
3=2000,4,0.7,0.7,0,0.1,0
4=2500,5,0.6,0.6,0.05,0.1,1
5=3000,5,0.5,0.5,0.1,0.2,1
6=3500,5,0.4,0.4,0,0.2,0
7=4000,5,0.3,0.3,0.2,0.2,1
8=5000,5,0.2,0.2,0.3,0.2,1
9=6000,10,0.1,0.1,0,0.5,0
10=8000,10,0.05,0.05,0.4,0.5,1
11=10000,10,0.04,0.04,0.5,0.5,2
12=15000,10,0.03,0.03,0.6,1,4
13=20000,10,0.02,0.02,0.7,1,5
14=25000,10,0.01,0.01,0.8,2,7
15=30000,10,0.01,0.01,0.9,2,9
16=35000,10,0.01,0.01,0.9,2,11
17=40000,10,0.01,0.01,0.9,2,15
18=50000,10,0.01,0.01,0.9,2,17
19=60000,10,0.01,0.01,0.9,2,20


